Observation,Reason
12676,lab1 is too low
12676,walk_score_comm is too low
12676,saf3 is too high
12676,own2 is too low
14695,pop1 is too high
14695,inc3 is too low
14695,inc1 is too low
14695,inc2 is too low
7279,mr5y is too high
7279,Inflation is too high
7279,walk_score_comm is too low
7279,lab2 is too high
3144,saf4 is too high
3144,saf5 is too high
3144,mr5y is too high
3144,Inflation is too high
3144,pop2 is too high
3144,inc3 is too low
3144,pop3 is too high
3144,inc1 is too low
3144,inc2 is too low
3144,lab2 is too high
3144,vacancy_rate is too low
15747,pop1 is too high
15747,pop2 is too high
15747,saf3 is too high
15747,pop3 is too high
15747,pop4 is too high
15747,inc2 is too low
15747,vacancy_rate is too low
14239,mr5y is too high
14239,Inflation is too high
14239,pop1 is too high
14239,pop2 is too high
14239,pop3 is too high
528,saf4 is too high
528,saf5 is too high
528,own3 is too high
528,Age is too high
528,saf2 is too high
528,saf3 is too high
10835,pop1 is too high
10835,pop2 is too high
10835,pop3 is too high
4612,saf4 is too high
4612,saf5 is too high
4612,own3 is too high
4612,saf2 is too high
4612,saf3 is too high
9604,walk_score_comm is too low
9604,lab2 is too high
8176,pop1 is too high
8176,pop2 is too high
8176,saf3 is too high
8176,pop3 is too high
8176,pop4 is too high
8176,inc2 is too low
8176,vacancy_rate is too low
15728,saf4 is too high
15728,saf5 is too high
15728,inc3 is too low
15728,own3 is too high
15728,walk_score_comm is too low
15728,saf2 is too high
15728,inc1 is too low
15728,lab2 is too high
7886,saf5 is too high
7886,inc3 is too low
7886,lab1 is too low
7886,Age is too high
7886,inc1 is too low
7886,own2 is too low
12370,lab2 is too high
2702,own3 is too high
2702,own2 is too low
7182,saf5 is too high
7182,saf2 is too high
10216,saf4 is too high
10216,mr5y is too high
10216,Inflation is too high
10216,inc3 is too low
10216,Age is too high
10216,saf3 is too high
10216,inc1 is too low
10936,mr5y is too high
10936,Inflation is too high
10936,pop1 is too high
10936,pop2 is too high
10936,pop3 is too high
327,saf4 is too high
327,mr5y is too high
